Word,Translation,Part of Speech,Gender / Plural,Pronunciation,Example Sentence,Topic,Subtopic,Learned?
cal,horse,noun,masculine / cai,/kal/,Calul aleargă repede.,Animal,Farm,FALSE
cămilă,camel,noun,feminine,/kəˈmi.lə/,Cămila poartă încărcături grele.,Animal,Farm,FALSE
capră,goat,noun,feminine,/ˈkaprə/,Capra bea apă.,Animal,Farm,FALSE
cocoș,rooster,noun,masculine / cocoși,/koˈkoʃ/,Cocoșul cântă dimineața.,Animal,Farm,FALSE
curcan,turkey,noun,masculine,/kurˈkan/,Curcanul face parte din masa de sărbători.,Animal,Farm,FALSE
găină,hen,noun,feminine,/ˈgə.ni.nə/,Găina face ouă.,Animal,Farm,FALSE
gâscă,goose,noun,feminine / gâște,/ˈgɨskə/,Gâsca este agresivă.,Animal,Farm,FALSE
miel,lamb,noun,masculine,/ˈmjel/,Mielul sare în iarbă.,Animal,Farm,FALSE
oaie,sheep,noun,feminine / oi,/ˈwa.je/,Oaia este albă.,Animal,Farm,FALSE
porc,pig,noun,masculine,/pork/,Porcul este mare și roz.,Animal,Farm,FALSE
rață,duck,noun,feminine / rațe,/ˈra.t͡sə/,Rața înoată pe lac.,Animal,Farm,FALSE
vacă,cow,noun,feminine / vaci,/ˈvakə/,Vaca face lapte.,Animal,Farm,FALSE
broască țestoasă,turtle,noun,feminine,/broaˈskə ˈt͡se.sto.a.sə/,Broasca țestoasă trăiește mult.,Animal,Pet,FALSE
câine,dog,noun,masculine,/ˈkɨjne/,Câinele aleargă în parc.,Animal,Pet,FALSE
cameleon,chameleon,noun,masculine,/ka.meˈle.on/,Cameleonul își schimbă culoarea.,Animal,Pet,FALSE
canar,canary,noun,masculine,/kaˈnar/,Canarul cântă frumos.,Animal,Pet,FALSE
hamster,hamster,noun,masculine,/ˈham.stər/,Hamsterul se plimbă în roata lui.,Animal,Pet,FALSE
iepuraș,bunny,noun,masculine,/jeˈpuraʃ/,Iepurașul este mic și pufos.,Animal,Pet,FALSE
iepure,rabbit,noun,masculine,/ˈjepure/,Iepurele sare prin grădină.,Animal,Pet,FALSE
iguană,iguana,noun,feminine,/iˈgwanə/,Iguana stă pe stâncă.,Animal,Pet,FALSE
papagal,parrot,noun,masculine,/paˈpa.gal/,Papagalul poate imita sunete.,Animal,Pet,FALSE
pisică,cat,noun,feminine,/piˈsikə/,Pisica doarme pe canapea.,Animal,Pet,FALSE
porumbel,pigeon,noun,masculine,/poˈrumbel/,Porumbelul zboară în parc.,Animal,Pet,FALSE
șoarece,mouse,noun,masculine,/ʃoˈare.t͡ʃe/,Șoarecele fuge repede.,Animal,Pet,FALSE
arici,hedgehog,noun,masculine,/aˈrit͡ʃ/,Ariciul se încurcă în frunze.,Animal,Wild,FALSE
balenă,whale,noun,feminine,/baˈlenə/,Balena este mare și albastră.,Animal,Wild,FALSE
broască,frog,noun,feminine,/broaˈskə/,Broasca sare în lac.,Animal,Wild,FALSE
bufniță,owl,noun,feminine,/bufˈni.t͡sə/,Bufnița vânează noaptea.,Animal,Wild,FALSE
cangur,kangaroo,noun,masculine,/kanˈgur/,Cangurul sare în Australia.,Animal,Wild,FALSE
castor,beaver,noun,masculine,/ˈkas.tor/,Castorul construiește baraje.,Animal,Wild,FALSE
delfin,dolphin,noun,masculine,/delˈfin/,Delfinul sare din apă.,Animal,Wild,FALSE
elefant,elephant,noun,masculine,/e.leˈfant/,Elefantul trăiește la grădina zoologică.,Animal,Wild,FALSE
flamingo,flamingo,noun,masculine,/flaˈmiŋ.go/,Flamingo are pene roz.,Animal,Wild,FALSE
girafă,giraffe,noun,feminine,/ʒiˈrafə/,Girafa mănâncă frunze de copac.,Animal,Wild,FALSE
hipopotam,hippopotamus,noun,masculine,/hi.po.poˈtam/,Hipopotamul stă în apă.,Animal,Wild,FALSE
koala,koala,noun,masculine,/koˈala/,Koala doarme mult.,Animal,Wild,FALSE
lebădă,swan,noun,feminine,/leˈbədə/,Lebăda înoată pe lac.,Animal,Wild,FALSE
leu,lion,noun,masculine / lei,/lew/,Leul este puternic.,Animal,Wild,FALSE
liliac,bat,noun,masculine,/ˈli.li.ak/,Liliacul zboară noaptea.,Animal,Wild,FALSE
lup,wolf,noun,masculine / lupi,/lup/,Lupul urlă noaptea.,Animal,Wild,FALSE
maimuță,monkey,noun,feminine / maimuțe,/majˈmut͡sə/,Maimuța urcă în copac.,Animal,Wild,FALSE
melc,snail,noun,masculine,/melk/,Melcul merge încet.,Animal,Wild,FALSE
pasăre,bird,noun,feminine / păsări,/ˈpəsərə/,Pasărea cântă dimineața.,Animal,Wild,FALSE
pește,fish,noun,masculine / pești,/ˈpeʃte/,Peștele înoată în râu.,Animal,Wild,FALSE
raton,raccoon,noun,masculine,/raˈton/,Ratonul caută mâncare noaptea.,Animal,Wild,FALSE
rechin,shark,noun,masculine,/ˈrekin/,Rechinul trăiește în mare.,Animal,Wild,FALSE
rinocer,rhinoceros,noun,masculine,/riˈno.ʧer/,Rinocerul are coarne mari.,Animal,Wild,FALSE
șarpe,snake,noun,masculine / șerpi,/ˈʃar.pe/,Șarpele este lung.,Animal,Wild,FALSE
șopârlă,lizard,noun,feminine,/ʃoˈpərlə/,Șopârla se ascunde în soare.,Animal,Wild,FALSE
struț,ostrich,noun,masculine,/struʦ/,Struțul este cea mai mare pasăre.,Animal,Wild,FALSE
tigru,tiger,noun,masculine,/ˈtigru/,Tigrul este periculos.,Animal,Wild,FALSE
urs,bear,noun,masculine / urși,/urs/,Ursul este mare.,Animal,Wild,FALSE
veveriță,squirrel,noun,feminine,/ve.veˈrit͡sə/,Veverița mănâncă nuci.,Animal,Wild,FALSE
